0;Back To Black;Amy Winehouse;He left no time to regret Kept his dick wet with his same old safe bet Me and my head high And my tears dry, get on without my guy You went back to what you know So far removed from all that we went through And I tread a troubled track My odds are stacked, I'll go back to black  We only said goodbye with words I died a hundred times You go back to her and I go back to I go back to us  I love you much, it's not enough You love blow and I love puff And life is like a pipe And I'm a tiny penny rollin' up the walls inside  We only said goodbye with words I died a hundred times You go back to her and I go back to We only said goodbye with words I died a hundred times You go back to her and I go back to Black, black, black, black Black, black, black I go back to I go back to  We only said goodbye with words I died a hundred times You go back to her and I go back to We only said goodbye with words I died a hundred times You go back to her and I go back to black105EmbedShare URLCopyEmbedCopy
1;She Will Be Loved;Maroon 5;Beauty queen of only eighteen She had some trouble with herself He was always there to help her She always belonged to someone else  I drove for miles and miles And wound up at your door I've had you so many times But somehow, I want more  I don't mind spending every day Out on your corner in the pouring rain Look for the girl with the broken smile Ask her if she wants to stay a while  And she will be loved And she will be loved  Tap on my window, knock on my door, I Want to make you feel beautiful I know I tend to get so insecure Doesn't matter anymore It's not always rainbows and butterflies It's compromise that moves us along, yeah My heart is full and my door's always open You come any time you want, yeah  I don't mind spending every day Out on your corner in the pouring rain Look for the girl with the broken smile Ask her if she wants to stay a while  And she will be loved And she will be loved And she will be loved And she will be loved  I know where you hide Alone in your car Know all of the things that make you who you are I know that goodbye means nothing at all Comes back and makes me catch her Every time she falls, yeah Tap on my window, knock on my door, I Want to make you feel beautiful  I don't mind spending every day Out on your corner in the pouring rain, oh Look for the girl with the broken smile Ask her if she wants to stay a while  And she will be loved And she will be loved And she will be loved (Please don't try so hard to say goodbye) And she will be loved  Please don't try so hard to say goodbye (Yeah, yeah, yeah, yeah, ooh) Please don't try so hard to say goodbye (I don't mind spending every day, ooh) (Out on your corner in the pouring rain) Please don't try so hard to say goodbye77EmbedShare URLCopyEmbedCopy
2;Family Affair;Mary J. Blige;"Let's get it crunk up on Have fun up on up in this dancery We got y'all open, now ya floatin' So you gots to dance for me Don't need no hateration Holleration in this dancery Let's get it percolatin', while you're waitin' So just dance for me  Come on, everybody, get on up 'Cause you know we gots to get it crunk Mary J. is in the spot tonight And I'ma make it feel alright (Make it feel alright) Come on, baby, just party with me Let loose and set your body free (Oh) Leave your situations at the door So when you step inside, jump on the floor  Let's get it crunk up on (Let's get crunk up on) Have fun up on up in this dancery We got y'all open, now ya floatin' So you gots to dance for me Don't need no hateration Holleration in this dancery (Holler, holler, holler) Let's get it percolatin', while you're waitin' So just dance for me Ooh, it's only gonna be about a matter of time Before you get loose and start to lose your mind Cop you a drink, go 'head and rock your ice 'Cause we celebrating no more drama in our life With a Dre track pumpin', everybody's jumpin' Go ahead and twist your back and get your body bumpin' I told you, ""Leave your situations at the door"" So grab somebody and get your ass on the dancefloor  Let's get it crunk up on Have fun up on up in this dancery We got y'all open, now ya floatin' So you gots to dance for me Don't need no hateration Holleration in this dancery Let's get it percolatin', while you're waitin' So just dance for me  We don't need no haters (Y'all, we don't need no) We're just trying to love one another (Love) We just want y'all to have a good time (Mhm) No more drama in your life (Mmm-mmm, no) Work real hard to make a dime If you got beef, your problem, not mine (No, not mine) Leave all that BS outside (We) We're gonna celebrate all night (All night) Let's have fun tonight, no fights Turn that Dre track way up high (Turn it up, turn it up) Making you dance all night and I (All night long) Got some real heat for ya this time (Real heat. boy) It doesn't matter if you're white or Black (Doesn't matter, doesn't matter) Let's get crunk 'cause Mary's back Let's get it crunk up on (Let's get crunked up on) Have fun up on up in this dancery (In this dancery) We got y'all open, now ya floatin' So you gots to dance for me (So you gotta dance for me) Don't need no hateration (Dance for me) Holleration in this dancery (Dance for me) Let's get it percolatin', while you're waitin' (Let's get it, let's get it, let's get it) So just dance for me Let's get it crunk up on (Dance for me) Have fun up on up in this dancery (Let's get crunk up on) We got y'all open, now ya floatin' (All I want y'all to do) So you gots to dance for me (Is just dance, just dance) Don't need no hateration (C'mon, c'mon) Holleration in this dancery (C'mon, c'mon) Let's get it percolatin', while you're waitin' So just dance for me Let's get it crunk up on Have fun up on up in this dancery (Oh, yeah) We got y'all open, now ya floatin' So you gots to dance for me (You gotta dance for me) Don't need no hateration (Just dance for me) Holleration in this dancery  (Just dance for me) Let's get it percolatin', while you're waitin' (Dance for me, dance for me, dance for me, yeah) So just dance for me Let's get it crunk up on (Dance for me) Have fun up on up in this dancery (C'mon y'all, dance) We got y'all open, now ya floatin' (Dance, dance, dance, dance) So you gots to dance for me Don't need no hateration Holleration in this dancery  (We don't need no hands) Let's get it percolatin', while you're waitin' (We just want you all to holler, holler when you hear me, get it percolated) So just dance for me17EmbedShare URLCopyEmbedCopy"
3;The Sweet Escape;Gwen Stefani;Konvict, Konvict, Konvict Woo-hoo, yee-hoo Woo-hoo, yee-hoo Woo-hoo, yee-hoo Woo-hoo, yee-hoo  If I could escape, I would But first of all, let me say I must apologize for acting stank and treating you this way 'Cause I've been acting like sour milk all on the floor It's your fault, you didn't shut the refrigerator Maybe that's the reason I've been acting so cold  If I could escape (Escape) And recreate a place that's my own world (Own world) And I could be your favorite girl (Forever), perfectly together And tell me boy, now wouldn't that be sweet? (Sweet escape) If I could be sweet (Be sweet) I know I've been a real bad girl (I'll try to change) I didn't mean for you to get hurt (Whatsoever) We can make it better And tell me boy, now wouldn't that be sweet? (Sweet escape, sweet escape) (Woo-hoo, yee-hoo, woo-hoo, yee-hoo) I wanna get away (Get away) to our sweet escape (Sweet escape) (Woo-hoo, yee-hoo, woo-hoo, yee-hoo) I wanna get away (Get away), yeah (Yeah)  You melt me down, I'm at my lowest boiling point Come help me out, I need to get me out of this joint Come on, let's bounce, counting on you to turn me around Instead of clowning around, let's look for some common ground So baby, times get a little crazy I've been gettin' a little lazy Waitin' on you to come save me I can see that you're angry by the way that you treat me Hopefully you don't leave me, wanna take you with me  If I could escape (Escape) and recreate a place that's my own world (Own world) And I could be your favorite girl (Forever), perfectly together And tell me boy, now wouldn't that be sweet? (Sweet escape) If I could be sweet (Be sweet) I know I've been a real bad girl (I'll try to change) I didn't mean for you to get hurt (Whatsoever) We can make it better And tell me boy, now wouldn't that be sweet? (Sweet escape, sweet escape) (Woo-hoo, yee-hoo, woo-hoo, yee-hoo) If I could escape (Woo-hoo, yee-hoo, woo-hoo, yee-hoo) If I could escape 'Cause I've been acting like sour milk all on the floor It's your fault you didn't shut the refrigerator Maybe that's the reason I've been acting so cold  If I could escape (Escape) and recreate a place that's my own world (Own world) And I could be your favorite girl (Forever), perfectly together And tell me boy, now wouldn't that be sweet? (Sweet escape) If I could be sweet (Be sweet) I know I've been a real bad girl (I'll try to change) I didn't mean for you to get hurt (Whatsoever) We can make it better And tell me boy, now wouldn't that be sweet? (Sweet escape, sweet escape)  (Woo-hoo, yee-hoo, woo-hoo, yee-hoo) I wanna get away (Get away) to our sweet escape (Sweet escape) (Woo-hoo, yee-hoo, woo-hoo, yee-hoo) I wanna get away (Get away), yeah (Yeah) (Woo-hoo, yee-hoo, woo-hoo, yee-hoo) (Woo-hoo, yee-hoo, woo-hoo, yee-hoo)23EmbedShare URLCopyEmbedCopy
4;Hips Don't Lie;Shakira;Ladies up in here tonight No fighting (We got the refugees up in here) No fighting No fighting Shakira, Shakira  I never really knew that she could dance like this (Hey) She make a man wanna speak Spanish ¿Cómo se llama (Sí!), bonita? (Sí!) Mi casa, su casa (Shakira, Shakira) Oh baby, when you talk like that (Huh-uh) (Yeah) You make a woman go mad (Oh) So be wise (Sí!) and keep on (Sí!) Reading the signs of my body (Uno, dos, tres, cuatro) No fighting  I'm on tonight You know my hips don't lie (No fighting) And I'm starting to feel it's right All the attraction, the tension Don't you see, baby? This is perfection  Hey girl, I can see your body moving And it's driving me crazy (Huh-uh) And I didn't have the slightest idea Until I saw you dancing (Yeah) That when you walk up on the dance floor, nobody cannot ignore The way you move your body, girl (Just smooth) And everything's so unexpected, the way you right and left it So you can keep on shaking it (Let's go) I never really knew that she could dance like this (Hey) She make a man wanna speak Spanish ¿Cómo se llama (Sí!), bonita? (Sí!) Mi casa, su casa (Shakira, Shakira) Oh baby, when you talk like that (Huh-uh) (Oh) You make a woman go mad (So bad) (Oh) So be wise (Sí!) and keep on (Sí!) Reading the signs of my body No fighting  I'm on tonight You know my hips don't lie (No fighting) And I'm starting to feel you, boy (Yeah) Come on, let's go, real slow Don't you see, baby? Así es perfecto They know I'm on tonight (Yeah) My hips don't lie And I'm starting to feel it's right All the attraction, the tension Don't you see baby? This is perfection (Shakira, Shakira)  Oh boy, I can see your body moving Half animal, half man I don't, don't really know what I'm doing But you seem to have a plan (Yeah) My will and self-restraint Have come to fail now, fail now See, I'm doing what I can, but I can't, so, you know That's a bit too hard to explain (Uno, dos, tres, cuatro) Baila en la calle de noche (Uh, yeah) Baila en la calle de día (Let's go!) Baila en la calle de noche (Uh, yeah) Baila en la calle de día (Let's go!)  I never really knew that she could dance like this (Hey) She make a man wanna speak Spanish (Yeah) ¿Cómo se llama (Sí!), bonita? (Sí!) Mi casa, su casa (Shakira, Shakira) Oh baby, when you talk like that (Huh-uh) (Oh) You know you got me hypnotized (Oh) So be wise (Sí! Uh) and keep on (Sí! Uh) Reading the signs of my body (Yeah)  Señorita, feel the conga Let me see you move like you come from Colombia Yeah, oh, yeah, ladies, sí! (Yeah, yeah, hey, yeah) Mira, en Barranquilla se baila así, say it! (Yeah) En Barranquilla se baila así (Yeah)  Yeah, she's so sexy, every man's fantasy A refugee like me back with the Fugees from a third world country (Huh-uh) I go back like when 'Pac carried crates for Humpty Humpty We leave the whole club jazzy Why the CIA wanna watch us? It's the Colombians and Haitians I ain't guilty, it's a musical transaction Bo-bop-so-bop, no more do we snatch ropes Refugees run the seas, 'cause we own our own boats, boats (No fighting) I'm on tonight My hips don't lie And I'm starting to feel you, boy Come on, let's go, real slow Baby, like this is perfecto (No fighting) Oh, you know I'm on tonight My hips don't lie And I'm starting to feel it's right The attraction, the tension Baby, like this is perfection  No fighting No fighting78EmbedShare URLCopyEmbedCopy
5;Yeah!;Usher;"Peace up, A-Town down Yeah, yeah! Okay, okay! Usher (Usher, Usher, Usher, Usher) Lil Jon Let's go! Yeah, yeah, yeah, yeah, yeah, yeah! Yeah, yeah, yeah, yeah, yeah, yeah! Let's go!  I was up in the club with my homies Tryna get a lil' V-I Keep it down on the low-key (Low-key) 'Cause you know how it feels (Hey!) I seen shoawty, she was checkin' up on me From the game she was spitting in my ear You would think that she know me (Know me) I decided to chill (Okay!) Conversation got heavy (Hey!) She had me feeling like she's ready to blow (Watch out!) Ohh! (Watch out) She's saying, ""Come get me"" (Come get me) So I got up and followed her to the floor She said, ""Baby, let's go"" When I told her (Let's go!), I said (Yeah!) Yeah! Shawty got down low, she said, ""come and get me"" (Yeah!) Yeah! I got so caught up, I forgot she told me (Yeah!) Yeah! Her and my girl, they used to be the best of homies (Yeah!) Yeah! Next thing I knew, she was all up on me, screaming Yeah (Yeah!) yeah (Yeah!) yeah, yeah! Yeah (Yeah!) yeah (Yeah!) yeah, yeah!  So she's all up in my head now, got me thinking That it might be a good idea to take her with me 'Cause she's ready to leave (Ready to leave now) (Let's go!) And I got to keep it real now 'Cause on a one to ten, she's a certified twenty But that just ain't me (Hey!) 'Cause I don't know, if I take that chance Just where's it gonna lead? But what I do know is the way she dance Make shorty alright with me The way she get low I'm like, yeah, just work that out for me She asks for one more dance, and I'm like, yeah How the hell am I supposed to leave? (Let's go, bring the beat back!) And I say (Yeah!) Yeah! Shawty got down low, she said, ""come and get me"" (Yeah!) Yeah! I got so caught up, I forgot she told me (Yeah!) Yeah! Her and my girl, they used to be the best of homies (Yeah!) Yeah! Next thing I knew, she was all up on me, screaming Yeah (Yeah!) yeah (Yeah!) yeah, yeah! Yeah (Yeah!) yeah (Yeah!) yeah, yeah! (Hey! Hey! Luda!)  Watch out, my outfit's ridiculous In the club, looking so conspicuous And *""roar!""*, these women all on the prowl If you hold the head steady, I'ma milk the cow (Yeah!) And forget about game, I'ma spit the truth (What?) I won't stop 'til I get 'em in their birthday suit (Yeah!) So gimme the rhythm and it'll be off with their clothes Then bend over to the front, and touch your toes I left the Jag and I took the Rolls If they ain't cutting, then I put 'em on foot patrol (Let's go!) How you like me now? When my pinky's valued over three hundred thousand Let's drink, you the one to please (Yeah!) Ludacris fill cups like double D's (Yeah!) Me and Ursh' once more, and we leaves 'em dead We want a lady in the street, but a freak in the bed, that say (Yeah!) Yeah! Shawty got down low, she said, ""come and get me"" (Yeah!) Yeah! I got so caught up, I forgot she told me (Yeah!) Yeah! Her and my girl, they used to be the best of homies (Yeah!) Yeah! Next thing I knew, she was all up on me, screaming Yeah (Yeah!) yeah (Yeah!) yeah, yeah! Yeah (Yeah!) yeah (Yeah!) yeah, yeah!  Take that and rewind it back Lil Jon got the beat that make your booty go (Clap) Take that, rewind it back Ursher got the voice make your booty go (Clap) Take that, rewind it back Ludacris got the flow to make your booty go (Clap) Take that, rewind it back Lil Jon got the beat that make your booty go (Clap)42EmbedShare URLCopyEmbedCopy"
6;Pon de Replay;Rihanna;Come, Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up? Come, Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up?  It goes one by one, even two by two Everybody on the floor, let me show you how we do Let's go, dip it low, then you bring it up slow Wind it up one time, wind it back once more  Come run, run, run, run Everybody move, run Lemme see you move and rock it 'til the groove done Shake it 'til the moon becomes the sun (Sun) Everybody in the club, give me a run (Run) If you ready to move say it (Yeah) One time for your mind say it (Yeah, yeah) Well, I'm ready for ya Come let me show ya You want to groove, I'mma show you how to move Come Come, Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up? Come, Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up?  Hey, Mister Please, Mr. DJ Tell me if you hear me Turn the music up (Hey, Mister) Hey, Mister Please, Mr. DJ Tell me if you hear me Turn the music up  It goes one by one, even two by two Everybody in the club gon' be rockin' when I'm through Let the bass from the speakers run through ya sneakers Move both ya feet and run to the beat Come run, run, run, run Everybody move, run Lemme see you move and rock it 'til the groove done Shake it 'til the moon becomes the sun (Sun) Everybody in the club give me a run (Run) If you ready to move say it (Yeah) One time for your mind say it (Yeah, yeah) Well, I'm ready for ya Come let me show ya You want to groove, I'mma show you how to move  Come, Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up? Come, Mr. DJ, song pon de replay Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up?  Hey, Mister (Hey, Mister) Please, Mr. DJ Tell me if you hear me Turn the music up (Turn the music up right now) Hey, Mister (Oh, Mister) Please, Mr. DJ Tell me if you hear me Turn the music up (Turn the music up right now) Okay, everybody get down if you feel me Put your hands up to the ceiling Everybody get down if you feel me Come and put your hands up to the ceiling Everybody get down if you feel me Put your hands up to the ceiling Everybody get down if you feel me Come and put your hands up to the ceiling  Come, Mr. DJ, song pon de replay (Come, Mr. DJ, song pon de replay) Come, Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what (All the gyal pon the dancefloor) Come, Mr. DJ, won't you turn the music up? Come, Mr. DJ, song pon de replay (Hey Mr. DJ, boy) Hey Mr. DJ, won't you turn the music up? All the gyal pon the dancefloor wantin' some more what Come, Mr. DJ, won't you turn the music up?20EmbedShare URLCopyEmbedCopy
7;You're Beautiful;James Blunt;My life is brilliant My life is brilliant, my love is pure I saw an angel, of that I'm sure She smiled at me on the subway She was with another man But I won't lose no sleep on that 'Cause I've got a plan You're beautiful, you're beautiful You're beautiful, it's true I saw your face, in a crowded place And I don't know what to do 'Cause I'll never be with you  Yeah, she caught my eye, as I walked on by She could see from my face that I was, fucking high And I don't think that I'll see her again But we shared a moment that will last 'til the end  You're beautiful, you're beautiful You're beautiful, it's true I saw your face, in a crowded place And I don't know what to do 'Cause I'll never be with you Na na na na Na na na na Na na na na, na  You're beautiful, you're beautiful You're beautiful, it's true There must be an angel, with a smile on her face When she thought up that I should be with you But it's time to face the truth I will never be with you43EmbedShare URLCopyEmbedCopy
8;Halo;Beyoncé;Remember those walls I built? Well, baby, they're tumblin' down And they didn't even put up a fight They didn't even make a sound I found a way to let you in But I never really had a doubt Standin' in the light of your halo I got my angel now  It's like I've been awakened Every rule I had you breakin' It's the risk that I'm takin' I ain't never gonna shut you out  Everywhere I'm lookin' now I'm surrounded by your embrace Baby, I can see your halo You know you're my savin' grace You're everything I need and more It's written all over your face Baby, I can feel your halo Pray it won't fade away I can feel your halo, halo, halo I can see your halo, halo, halo I can feel your halo, halo, halo I can see your halo, halo Halo  Hit me like a ray of sun Burnin' through my darkest night You're the only one that I want Think I'm addicted to your light I swore I'd never fall again But this don't even feel like fallin' Gravity can't begin To pull me back to the ground again  It's like I've been awakened Every rule I had you breakin' The risk that I'm takin' I'm never gonna shut you out  Everywhere I'm lookin' now I'm surrounded by your embrace Baby, I can see your halo You know you're my savin' grace You're everything I need and more It's written all over your face Baby, I can feel your halo Pray it won't fade away I can feel your halo, halo, halo I can see your halo, halo, halo I can feel your halo, halo, halo I can see your halo, halo I can feel your halo, halo, halo I can see your halo, halo, halo I can feel your halo, halo, halo I can see your halo, halo Halo Halo Ooh  Everywhere I'm lookin' now I'm surrounded by your embrace Baby, I can see your halo You know you're my savin' grace You're everything I need and more It's written all over your face Baby, I can feel your halo Pray it won't fade away  I can feel your halo, halo, halo I can see your halo, halo, halo I can feel your halo, halo, halo I can see your halo, halo Halo, oh oh I can feel your halo, halo, halo I can see your halo, halo, halo I can feel your halo, halo, halo I can see your halo, halo Halo153EmbedShare URLCopyEmbedCopy
9;Just Dance;Lady Gaga;(Truth!) RedOne Konvict Gaga (Oh-oh, eh)  I've had a little bit too much, much (Oh, oh, oh-oh) All of the people start to rush (Start to rush by) A dizzy twister dance, can't find my drink or man Where are my keys? I lost my phone, phone (Oh, oh, oh-oh)  What's goin' on, on the floor? I love this record, baby, but I can't see straight anymore Keep it cool, what's the name of this club? I can't remember, but it's alright, a-alright  Just dance Gonna be okay, da-da-doo-doot-n Just dance Spin that record, babe, da-da-doo-doot-n Just dance Gonna be okay Da-da-da-dance, dance, dance Just, j-j-just dance Wish I could shut my playboy mouth (Oh, oh, oh-oh) How'd I turn my shirt inside out? (Inside out, right) Control your poison, babe, roses have thorns, they say And we're all gettin' hosed tonight (Oh, oh, oh-oh)  What's goin' on, on the floor? I love this record, baby, but I can't see straight anymore Keep it cool, what's the name of this club? I can't remember, but it's alright, a-alright  Just dance Gonna be okay, da-da-doo-doot-n Just dance Spin that record, babe, da-da-doo-doot-n Just dance Gonna be okay Da-da-da-dance, dance, dance Just, j-j-just  When I come through on the dance floor, checking out that catalogue (Hey) Can't believe my eyes, so many women without a flaw And I ain't gon' give it up, steady, tryna pick it up like a call I'mma hit it, I'mma beat it up, latch onto it until tomorrow, yeah Shorty, I can see that you got so much energy The way you twirlin' up them hips 'round and 'round And there is no reason at all why you can't leave here with me In the meantime, stay, let me watch you break it down and Dance Gonna be okay, da-da-doo-doot-n (Oh) Just dance (Ooh yeah) Spin that record, babe, da-da-doo-doot-n Just dance (Ooh yeah) Gonna be okay, da-da-doo-doot-n (Ooh yeah) Just dance (Ooh yeah) Spin that record, babe, da-da-doo-doot-n Just dance (Oh) Gonna be okay, da-da-da-dance (Gonna be okay) Dance, dance (Yeah) Just, j-j-just dance (Oh)  Incredible Amazing Music Woo! Let's go!  Half psychotic, sick, hypnotic, got my blueprint, it's symphonic Half psychotic, sick, hypnotic, got my blueprint, electronic Half psychotic, sick, hypnotic, got my blueprint, it's symphonic Half psychotic, sick, hypnotic, got my blueprint, electronic Go, use your muscle, carve it out, work it, hustle (I got it, just stay close enough to get it on) Don't slow, drive it, clean it, Lysol, bleed it Spend the last dough (I got it) in your pock-o (I got it) Just dance Gonna be okay, da-da-doo-doot-n Just dance Spin that record, babe, da-da-doo-doot-n Just dance (Baby) Gonna be okay, da-da-doo-doot-n Just dance Spin that record, babe, da-da-doo-doot-n (Oh, baby, yeah) Just dance Gonna be okay (Spin that record, baby, yeah) Da-da-da-dance, dance, dance Just, j-j-just dance46EmbedShare URLCopyEmbedCopy
